BEYCHAC ET CAILLAU;LATRESNE;Laura NAVARRO
APCHAT;ST BONNET DES BRUYERES;Elisabeth FISCHER
ST ETIENNE DE LUGDARES;GARONS;Andrey GARCIA
MAIGNAUT TAUZIA;AYGUETINTE;Maryia SCHNEIDER
BAGNOLS EN FORET;PEGOMAS;Maria NIELSEN
FONTCOUVERTE;BERNEUIL;Lyubov KUZNETSOV
LE THUIT DE L OISON;FEUGUEROLLES;Anna SMIRNOVA
LE SAUZE DU LAC;ESPINASSES;Elisabeth GOMEZ
BERRIC;THEIX NOYALO;Sergey SMIRNOV
MENTHONNEX SOUS CLERMONT;SERRIERES EN CHAUTAGNE;Igor BAUER
CORVEISSIAT;ARANDAS;Irina BONDARENKO
ST ETIENNE DE SERRE;CLEON D ANDRAN;Alina NOWAK
ST AGNAN SUR SARTHE;LES MONTS D ANDAINE;Wolfgang FERNANDEZ
ST GERMAIN DES GROIS;LOISAIL;Serhei FERRARI
CHASSIEU;COURZIEU;Daniel KOVÁCS
MALREVERS;ST PIERRE EYNAC;Peter MARTIN
LAPERCHE;MONTIGNAC DE LAUZUN;Darya VOLKOVA
ST ANDRE DE BRIOUZE;GIEL COURTEILLES;Alexander SCHÄFER
BECCAS;RICOURT;Robert PETROVA
REILLANNE;PIERREVERT;Vladymyr IVANOVA
ROMILLY;ROCE;Marta HUBER
THONNE LA LONG;VERNEUIL PETIT;Wolfgang JONES
ONGLIERES;PLENISETTE;Valentyna SCHMID
GENNES LONGUEFUYE;ST BRICE;Sergey SANCHEZ
MANHAC;COMPS LA GRAND VILLE;Natalya SCHULZ
BEAUREGARD;ST JEAN DES VIGNES;Dmitriy JOHNSON
BEGNECOURT;VITTEL;Denis HUBER
DESERVILLERS;CHANTRANS;Wolfgang MOROZOVA
ST LOUP;ST BRICE;Roman WEBER
VIENNE LA VILLE;VIENNE LE CHATEAU;Irina BAUER
MONCAUT;MASSELS;Andrea PEREZ
ASTAFFORT;FALS;Elena ANDERSSON
FLEVY;BAMBIDERSTROFF;Lyubov SIMON
THENEZAY;LA GRIMAUDIERE;Juan SANTOS
LE TUZAN;ST SYMPHORIEN;Denis MEYER
LE LAC D ISSARLES;PERROS GUIREC;Giovanni RODRIGUEZ
MONTIGNY SUR CHIERS;MONDIGNY;Angela RICHTER
BEAUX;VAL D ARCOMIE;Petra HERNANDEZ
CHEMENOT;BIEFMORIN;Aleksandra JIMENEZ
MONTAIN;PLAINOISEAU;Giovanni MORENO
TRACY SUR MER;PONTS SUR SEULLES;Tatyana JONES
ST SALVADOUR;FEYT;Mária RUIZ
LANEUVILLE AU RUPT;SAULVAUX;Tatyana TORRES
PONTCHARDON;LES BOTTEREAUX;Laura TORRES
LINTHES;PLEURS;Vladimir MAGOMEDOV
ST MARTIN D ENTRAUNES;ST ETIENNE DE TINEE;Barbara JIMENEZ
GUNSBACH;TALLANS;John ALVAREZ
LOUBIGNE;ST MARTIN DU CLOCHER;Rosa TAYLOR
MARTIGUES;GEFFOSSES;Thomas SCHMIDT
ROMEGOUX;BORDS;Elisabeth THOMAS
CAGNES SUR MER;L ETRAT;Natalya SOKOLOVA
NOYERS ST MARTIN;MAUCOURT;Petra MOROZOVA
DUNG;PRESENTEVILLERS;Michel JOHANSSON
DAMPIERRE LES BOIS;ISSANS;Josef WEBER
RAMMERSMATT;FRESSE;Christian LOPEZ
ST VERAND;ST SAUVEUR;Klaus POPOV
LES RESSUINTES;MOUTIERS AU PERCHE;Aleksandra GARCIA
TOSSE;SAUBION;Hans MEYER
TOURNEMIRE;CASTELNAU PEGAYROLS;Dmitriy WILLIAMS
PETIT COURONNE;NASSANDRES SUR RISLE;Aleksandra ROBERTS
SECHAULT;SOMME BIONNE;Mária KARLSSON
URSCHENHEIM;WIDENSOLEN;Josef JONES
OYTIER ST OBLAS;ESTRABLIN;David ROBERTS
PISANY;ST AUGUSTIN;Yvan MOROZOVA
LES LOGES SAULCES;LES ISLES BARDEL;Pavel SCHMID
ST SORNIN;LE VILHAIN;Ivan NOVIKOVA
BREHEVILLE;ST NICOLAS;Marta RODRIGUEZ
MARSILLY;CLAVETTE;Patrick MEYER
ST PERAN;BLERUAIS;Mariya ALVAREZ
LE THOU;BORDS;Eva KLEIN
BAZAS;BOURRIOT BERGONCE;Martin EVANS
ST JEAN DU PIN;MONCORNEIL GRAZAN;Alexander TORRES
DOUDEVILLE;SAANE ST JUST;Piotr KOCH
MONTIGNAC;COIRAC;Anna POPOV
TOURNUS;BYANS SUR DOUBS;David ROBERTS
VANDOEUVRE LES NANCY;ORTONCOURT;Vladymyr NOVIKOVA
FAUCON;CURNIER;Igor MARIN
ST PRIVE;CHATIN;Elena THOMAS
VIGNEUL SOUS MONTMEDY;VERNEUIL GRAND;Denis COSTA
ETAUX;ALLONZIER LA CAILLE;Tatiana SOKOLOVA
PALAJA;ARQUETTES EN VAL;Dmitriy RUIZ
JEGUN;CASTIN;Natalya SIMON
VOUGY;LEIGNEUX;Yvan RUIZ
ELISE DAUCOURT;JUVINCOURT ET DAMARY;Hans BECKER
LE GICQ;STE EANNE;Claude SCHMIDT
VAUNAC;THENON;Rosa DAVIES
OTTANGE;MANOM;Karin TÓTH
SULLY LA CHAPELLE;MAREAU AUX BOIS;Karin WAGNER
LAGUIOLE;ST FLOUR;Andrey SOKOLOVA
ST AIGNAN SUR ROE;ST MICHEL DE LA ROE;Anton SCHULZ
DRACY;TANNERRE EN PUISAYE;Barbara TORRES
MAISONNEUVE;CRAON;Tatiana RUSSO
VERMENTON;PREGILBERT;Ekaterina EVANS
ST MEDARD D AUNIS;PORT DES BARQUES;Anton SILVA
VIELLE ST GIRONS;HERM;Elena EVANS
LERY;SAINTS GEOSMES;Marta FERNANDEZ
LA CELLE SUR NIEVRE;LIMANTON;Antonio MUÑOZ
MARAUSSAN;CREISSAN;Marie KRAVCHENKO
TALUYERS;LOIRE SUR RHONE;Andreas ALVAREZ
CANOHES;ST FELIU D AMONT;Andrei BECKER
LE COLLET DE DEZE;ST MARTIN DE VALGALGUES;Elena WOLF
PARIS;LONGUEVILLE;Michel POPOV
ESPERCE;ARROUT;Brigitte PAVLOVA
AUCHAY SUR VENDEE;MONTREUIL;Marie PETROV
ENTREVENNES;LES MUJOULS;Mario SCHULZ
BAGNOLS SUR CEZE;MEJANNES LES ALES;Josef HOFFMANN
OISSEL;ETURQUERAYE;John WOLF
CAMARADE;MONTBRUN BOCAGE;Valentina JENSEN
VERSON;THUE ET MUE;Oksana ROMERO
MONTCHEVREL;NEUVILLE SUR TOUQUES;Martin SMIRNOV
ALZON;LA COUVERTOIRADE;Petra SMIRNOVA
SERROUVILLE;MALAVILLERS;Michael SIMON
REMILLY LES MARAIS;AUVERS;Eva FERNANDEZ
COURTHEZON;CRILLON LE BRAVE;Laura MARTINEZ
CUGAND;LA HAIE FOUASSIERE;Oksana MUÑOZ
VER LES CHARTRES;MIGNIERES;Serhei RUIZ
LA MOTTE D AIGUES;LA BASTIDONNE;Wolfgang TORRES
ARUDY;BERNADETS;Olga THOMAS
MENAUCOURT;BROUSSEY EN BLOIS;Brigitte WEBER
PRIN DEYRANCON;CRAMCHABAN;Natalya JENSEN
ROCHEVILLE;ST SAUVEUR LE VICOMTE;John SANTOS
ESCATALENS;ISSEPTS;Mario HUBER
ST MAURICE EN GOURGOIS;MALLEVAL;Irina SCHULZ
LA CHAPELLE D AUNAINVILLE;MORAINVILLE;Tatyana WAGNER
UFFHEIM;SIERENTZ;Maksim RODRIGUEZ
ST BONNET LA RIVIERE;MAGNAT L ETRANGE;Vladymyr HOFFMANN
ST GILLES PLIGEAUX;CANIHUEL;Igor WEBER
REJAUMONT;BON ENCONTRE;Sergey ZIMMERMANN
ST VERAND;CHAUSSETERRE;Vasylyi RUIZ
DONNEMAIN ST MAMES;OLIVET;Nadezhda ROBERTS
TOURREILLES;LOUPIA;Martin MÜLLER
CANTE;AIGNES;Maksim JOHNSON
SALVIAC;DAGLAN;Mária NAVARRO
VILLERS LA FAYE;MONTMANCON;Paul PETROVA
GUILLESTRE;EYGLIERS;Sandra ALONSO
CAUBON ST SAUVEUR;MUSSIDAN;Serhei RICHTER
SARE;LOUHOSSOA;Monika NOWAK
DOMPIERRE SUR CHARENTE;CHERAC;Karin WILSON
TREIZE VENTS;LA VILLEDIEU DU CLAIN;Aleksandr BROWN
DROUGES;MOUSSE;Dmitriy MILLER
UCHIZY;FOISSIAT;Michel BAUER
RAMBAUD;LA MOTTE EN CHAMPSAUR;Olga KUZNETSOV
BREUIL;LESBOEUFS;Marta WOLF
ST GENEYS PRES ST PAULIEN;ROCHEFORT SAMSON;Michel NOWAK
CAISSARGUES;BOUILLARGUES;Tatyana NAGY
MAGOAR;PLESIDY;David JOHANSSON
ST RIQUIER EN RIVIERE;LE TITRE;Darya NOWAK
LES MARTRES D ARTIERE;ST MYON;Mária WILSON
RIEDISHEIM;ILLFURTH;Ana JOHNSON
ST COSME EN VAIRAIS;ST GERVAIS DU PERRON;Brigitte POPOV
NAILHAC;TEMPLE LAGUYON;Vladimir VASILEVA
ST VINCENT DE PAUL;TETHIEU;Vladimir SIMON
FAY EN MONTAGNE;CHAPOIS;Anne WILLIAMS
MIRABEAU;LA BASTIDONNE;Werner NAVARRO
BRUCH;ST LAURENT;Daniel RODRIGUEZ
TROISFONTAINES;VEHO;Valentyna BONDARENKO
DIZIMIEU;ST JEAN DE NIOST;Elisabeth SMIRNOVA
BARGUELONNE EN QUERCY;ST CAPRAIS;Giuseppe JOHANSSON
LES ESSARDS;GUIZENGEARD;David PEREZ
ST SAUVEUR GOUVERNET;LE POET EN PERCIP;Piotr DAVIES
LE PIN;MONTREUIL DES LANDES;Paul KUZNETSOVA
BOUTENAC;LUC SUR ORBIEU;Aleksandr POPOV
LA CHAPELLE BERTRAND;POMPAIRE;Evgeniy BONDARENKO
PUISEAUX;LE VAUDOUE;Vladimir VOLKOVA
PUY D ARNAC;JOU SOUS MONJOU;Vladymyr KRAVCHENKO
STE COLOME;SEVIGNACQ MEYRACQ;Paul SHEVCHENKO
MAIGNAUT TAUZIA;BEAUCAIRE;Vladymyr ALONSO
REILHAC;LE VAULMIER;Natalya SCHÄFER
PIERREVERT;VINON SUR VERDON;Alexander SOKOLOVA
GIMONT;LARTIGUE;Daniel THOMAS
BIOT;CALLIAN;Nykolai SCHULZ
TOSSE;ST LON LES MINES;Marina SMIRNOVA
MONTREUIL;CHANTELOUP LES BOIS;Werner RUSSO
OZILLAC;JONZAC;Werner FERREIRA
LA SAUVETAT DE SAVERES;VIRELADE;Mario HERNANDEZ
ST JEAN DE LIVERSAY;MAILLE;Jean ANDERSSON
MURET ET CROUTTES;BEUGNEUX;Marie MARTIN
CAUSSE DE LA SELLE;AGDE;Olga GOMEZ
STE COLOMBE;AUBONNE;Francisco ROSSI
LA PIARRE;LE POET;Giovanni SIMON
PONT DE LABEAUME;LENTILLERES;Maksim FISCHER
EYRANS;CARS;Andrei TÓTH
ST ROMAIN;NEYRON;Wolfgang MUÑOZ
LE MESNIL SIMON;ST BENOIT D HEBERTOT;Manfred PEREZ
LA TOUR DU PIN;POURCHARESSES;Richard DIAZ
VIVIERS SUR CHIERS;LONGUYON;Natalya VARGA
PRUNIERES;NIMES;Christine ROMERO
BAONS LE COMTE;CAUMONT;Darya VOLKOVA
ST ANDRE DE L EURE;GROSSOEUVRE;Karin LOPEZ
PIBLANGE;EBLANGE;Angela NOVIKOVA
AGOS VIDALOS;ADE;Darya SZABÓ
CLERMONT;CESSALES;Mária GOMEZ
UMPEAU;BAILLEAU L EVEQUE;Olga DIAZ
ST FIACRE SUR MAINE;CHATEAU THEBAUD;Alina KOCH
CLERE SUR LAYON;PLEINE FOUGERES;Werner IVANOVA
LA ROTHIERE;ST LEGER SOUS BRIENNE;Manfred COSTA
VERTAIZON;LES MARTRES D ARTIERE;Aleksandr HOFFMANN
OZOIR LA FERRIERE;GAGNY;Nikolay SCHULZ
PANNECE;LOIREAUXENCE;Svetlana JONES
NAGES ET SOLORGUES;ST DIONISY;Andrey ROMERO
DALOU;ST JEAN DE VERGES;Jose MORENO
ST JOACHIM;ST MALO DE GUERSAC;Klaus BROWN
ST VINCENT DE PAUL;ROUFFIAC;Anton JOHANSSON
BEAUMONT;ANDILLY;Jan VASILEVA
PLENEE JUGON;PLESTAN;Vladymyr KOVALENKO
ST MEDARD D EXCIDEUIL;ROYERES;Andrei MEYER
MARIEULLES;OFFROICOURT;Jan KOCH
LE BEZ;LE POUJOL SUR ORB;Yuliya EVANS
SUPT;PORT LESNEY;Klaus THOMAS
ST PAUL EN FORET;CARROS;Werner FERRARI
LES MONCEAUX;CHAULIEU;Paul JIMENEZ
VERDON;BOISSE;Darya MORENO
CASTETBON;ST MEDARD;Ana GUTIERREZ
CHATEAUNEUF MIRAVAIL;SERRAVAL;Andrey GARCIA
ROMENAY;JOUVENCON;Monika KOVÁCS
TREFUMEL;ST ANDRE DES EAUX;Alexander GUTIERREZ
LE BOULLAY LES DEUX EGLISES;PUISEUX;Michael MARTIN
MARCY;JARDIN;Lyubov SMIRNOVA
ALTWILLER;BERTHELMING;Elisabeth SCHMIDT
LA THUILE;MERCURY;Aleksandra GUTIERREZ
LONGNES;CRANNES EN CHAMPAGNE;Nadezhda SCHNEIDER
REGUINY;PONTIVY;Aleksey HERNANDEZ
ATHIES;MONCHY LE PREUX;Peter EVANS
LALLEY;FAUCON DU CAIRE;Yvan PETROVA
MONTBRISON SUR LEZ;ROUSSET LES VIGNES;Alexander KARLSSON
CASSON;ST MARS DU DESERT;Josef JOHANSSON
GENEVREY;TERNUAY MELAY ET ST HILAIRE;Eva KLEIN
VALFLEURY;LOIRE SUR RHONE;Barbara SMIRNOV
MEUZAC;ST BONNET LA RIVIERE;Mária KOCH
CAMPNEUSEVILLE;HODENG AU BOSC;Mario THOMAS
LES ISLETTES;LE CLAON;Maksim KLEIN
MOLOY;CONFRACOURT;Anastasiya SCHNEIDER
BEDDES;LE CHATELET;Juan KOVALENKO
REMAUCOURT;SERRIS;Olha DIAZ
LIVET ET GAVET;REVEL;Elisabeth WAGNER
SEUIL;VAUX LES RUBIGNY;Olga KOCH
ST BONNET PRES BORT;LE MONTEIL;Maksim PEREZ
FERRIERES;VIGNEULLES;David BRAUN
CREHEN;CORSEUL;Mikhail JONES
ST PARDOULT;LA JARRIE AUDOUIN;Lyubov VARGA
COUVERTPUIS;OSNE LE VAL;Aleksey PEREZ
OUZOUER SUR TREZEE;VIEILLES MAISONS SUR JOUDRY;Oksana SCHÄFER
BELLESERRE;CAHUZAC;Marina FERNANDEZ
ST PAUL LE GAULTIER;AVERTON;Alina ALVAREZ
PAULHAN;ST BAUZILLE DE LA SYLVE;Petra WEBER
LES LANDES GENUSSON;REMOUILLE;Jose RODRIGUEZ
IBIGNY;ARRY;Martin SANCHEZ
LA COUTURE;LUCON;Eva PETROV
ST CYR SOUS DOURDAN;PECQUEUSE;Nikolay BECKER
PIRIAC SUR MER;ST GILDAS DE RHUYS;Nykolai PEREIRA
ST SERIES;CAISSARGUES;Tomasz WAGNER
THUSY;BOUSSY;Jan SOKOLOVA
ST MARTIN STE CATHERINE;MANSAT LA COURRIERE;Alina SILVA
RESENLIEU;CROISILLES;Jean WILSON
VALENSOLE;ROUMOULES;Karin MAGOMEDOV
GRANDCHAMP;MAATZ;Elisabeth KUZNETSOVA
BROYE AUBIGNEY MONTSEUGNY;CHEVIGNEY;Evgeniy DAVIES
PEVY;FLIGNY;Oksana NAGY
AUTECHAUX;MONTJUSTIN ET VELOTTE;Vera SCHÄFER
ST HILAIRE BONNEVAL;ST GENEST SUR ROSELLE;Peter ZIMMERMANN
ST DENIS D ANJOU;LA ROCHE NEUVILLE;Nikolay NOVIKOVA
VILLIERS AUX CORNEILLES;AMBONNAY;Olha HANSEN
BENOITVILLE;PENVENAN;Marina FISCHER
LAMARQUE;SOUSSANS;Lyubov NAVARRO
ST PRIEST LA PRUGNE;LA MONNERIE LE MONTEL;Oksana RAMOS
VIALAS;ST MARTIN DE BOUBAUX;Klaus KOVALENKO
ABLON;FATOUVILLE GRESTAIN;Nadezhda POPOVA
LA TRINITE DES LAITIERS;LE SAP ANDRE;Elisabeth MARTIN
CASTERA LANUSSE;CHIS;Serhei GOMEZ
VAL REVERMONT;SALAGNON;Patrick GUTIERREZ
STE ADRESSE;HONFLEUR;Pavel FERREIRA
TRAMAYES;EPIRY;Dmitriy GUTIERREZ
BARLY;OCCOCHES;Svetlana MAGOMEDOV
STE COLOMBE;REIGNEVILLE BOCAGE;David NAVARRO
DIXMONT;SOLTERRE;Igor MEYER
OTHE;BAZEILLES SUR OTHAIN;Eva TÓTH
VILLELOUP;ECHEMINES;Valentyna KOCH
ETREVAL;SEMMADON;Dmitriy KOVÁCS
LIPOSTHEY;MOUSTEY;Barbara DIAZ
LE CHALARD;STE FEREOLE;Maryia ANDERSSON
RUFFIGNE;TEILLAY;Aleksey ROSSI
MONTELS;LOUBIERES;Nykolai MEIER
ST LEGER LES PARAY;VOLESVRES;Marta PEREIRA
CHASNE SUR ILLET;GANDELAIN;Anne SZABÓ
PRADS HAUTE BLEONE;LAMBRUISSE;Paul NAVARRO
VICTOT PONTFOL;CRAMENIL;Christian SOKOLOVA
SURGY;BUVILLY;Jean HOFFMANN
VIEUX CHAMPAGNE;EAUX PUISEAUX;Karin MAGOMEDOV
ST NICOLAS DE LA HAIE;ST ROMAIN DE COLBOSC;Manfred PAVLOVA
ST SALVY DE LA BALME;LASFAILLADES;Andrey GUTIERREZ
CONFOLENT PORT DIEU;LA CHAPELLE LAURENT;David NOVIKOVA
VERSAILLEUX;NEYRON;Giuseppe GUTIERREZ
MOLIERES;LA SEGALASSIERE;Nikolay SMIRNOV
PRAILLES LA COUARDE;FRANCOIS;Thomas BECKER
CHAILLAND;ST GERMAIN D ANXURE;Juan BAUER
DURAVEL;THEZAC;Lyubov HUBER
TRIEUX;FLEVILLE LIXIERES;Dmitriy NOVIKOVA
CHAMBRAY;CAILLOUET ORGEVILLE;Aleksandra FERREIRA
ERREVET;VERLANS;Piotr MEIER
MONTJEAN;THEIL RABIER;Tomasz SMIRNOV
CHAMONIX MONT BLANC;LES HOUCHES;Maksim KLEIN
LANDRES ET ST GEORGES;SOMMERANCE;Olga BROWN
ST ROMANS DES CHAMPS;RIVES D AUTISE;Alexander LOPEZ
FONTAINE FOURCHES;CORRIBERT;Irina VARGA
MONTBAZON;BALLAN MIRE;Sandra JOHANSSON
TENTELING;FARSCHVILLER;Peter RICHTER
LAGNES;CABRIERES D AVIGNON;Giovanni JENSEN
CRETS EN BELLEDONNE;BLUFFY;Olha RUIZ
ST MARTIN LE CHATEL;ST NIZIER D AZERGUES;Hans ROSSI
ESPARROS;ASQUE;Eva PETROV
ORMES;ARTENAY;Andrea WEBER
ST JUST;LUNEL VIEL;Nadezhda SILVA
BOISSY EN DROUAIS;ST SEBASTIEN DE MORSENT;Manfred KLEIN
STE MERE EGLISE;BRICQUEVILLE;Maksim BECKER
MONTAIGU LES BOIS;MONTBRAY;Barbara ZIMMERMANN
CHATEAUVIEUX LES FOSSES;LODS;Robert SCHMID
SOMMAUTHE;SY;Monika SMIRNOVA
PEDERNEC;LEZARDRIEUX;Josef PEREZ
LA TOUR D AUVERGNE;NEBOUZAT;Pavel THOMAS
NEUVY AU HOULME;LES MOUTIERS EN AUGE;Marina KLEIN
GOERSDORF;WOERTH;Olha ALVAREZ
ST BONNET DE CHIRAC;RENAISON;Barbara SCHÄFER
WEITERSWILLER;KNOERSHEIM;Valentyna KOCH
VER SUR MER;BAZENVILLE;Evgeniy KOVÁCS
GAMBAISEUIL;MERE;Tatiana SCHÄFER
JAYAT;PORCIEU AMBLAGNIEU;Andreas FISCHER
FOS SUR MER;ARLES;Nykolai PEREZ
LA MOTTE SERVOLEX;ST PAUL;Roman HUBER
LA REMUEE;ST SULPICE DE GRIMBOUVILLE;Maryia THOMAS
DINARD;ST LUNAIRE;Olha MORENO
PLESSIS BARBUISE;MONTGENOST;Igor JONES
ST DENIS DES MONTS;ROSNY SUR SEINE;Maksim MEIER
MESCHERS SUR GIRONDE;VAUX SUR MER;John NOWAK
ST GENIES DES MOURGUES;CLARET;Juan KOVÁCS
LE PLANTAY;ST TRIVIER SUR MOIGNANS;Claude HUBER
AVAILLES LIMOUZINE;CHAUNAY;Ana HUBER
SERMOISE;BENAY;Hans MUÑOZ
VAUDRIVILLERS;LANANS;Juan THOMAS
CHAZE SUR ARGOS;CHEMILLE EN ANJOU;Giovanni TAYLOR
LUGOS;BELIN BELIET;Elisabeth VARGA
BEAUMETTES;AURIBEAU;Francesco SCHMID
LAUREDE;MUGRON;Paul JOHANSSON
MONTREUIL SUR ILLE;CROLLON;Michael WOLF
FRAISANS;SANTANS;Eva SCHNEIDER
BRION PRES THOUET;STE VERGE;Lyubov KARLSSON
ANGEOT;CHAUX;Serhei RODRIGUEZ
LATRAPE;LACAUGNE;Nadezhda GARCIA
ST JULIEN DE L ESCAP;CLION;Nadezhda WILSON
LA ROUAUDIERE;ST AIGNAN SUR ROE;Marta NIELSEN
CLION;LUSSAC;Maryia WEBER
JOPPECOURT;PREUTIN HIGNY;Aleksandr KRAVCHENKO
VALLENTIGNY;GOMMEVILLE;Maryia HERNANDEZ
LENDOU EN QUERCY;MONTEILS;Natalya VASILEVA
ST MARTIN DE LENNE;ONET LE CHATEAU;Marta FERNANDEZ
LE TEMPLE;ILE D AIX;Patrick RUSSO
BRIANT;POISSON;David KOVALENKO
BOURIDEYS;VERT;Valentyna GONZALEZ
ST PIERRE LES BITRY;QUINCY BASSE;Richard TÓTH
ST CYR MONTMALIN;VILLERS FARLAY;Rosa JOHNSON
CUGNY;ANNOIS;Karin SMITH
ABOEN;FONTANES;Ivan JIMENEZ
VANVILLE;LUISETAINES;Ana ROSSI
ST PAUL EN GATINE;ST MESMIN;Marta MORENO
FOX AMPHOUX;MONTMEYAN;Juan SANCHEZ
LUZENAC;VEBRE;Richard RAMOS
STE HERMINE;L ORBRIE;Pavel THOMAS
LUCHAT;CIVRAC EN MEDOC;Andrea ZIMMERMANN
BROSSAC;AZAY LE FERRON;Evgeniy SHEVCHENKO
CHATEAU RENARD;LORREZ LE BOCAGE PREAUX;Vasylyi WILSON
VILLERS LE TILLEUL;AUBRIVES;Pavel BONDARENKO
GRENDELBRUCH;NATZWILLER;Klaus SHEVCHENKO
CHARNAT;LA CANOURGUE;Aleksey VARGA
SILLY SUR NIED;RECLONVILLE;Marie FERNANDEZ
ESTAL;ASTAILLAC;Svetlana ALVAREZ
LESSE;RUSTROFF;Andrey WEBER
PAULX;SALLERTAINE;Anton NAGY
CLADECH;SALVIAC;Andrei HUBER
AAST;BOURS;Valentina JENSEN
TALCY;CIVRY EN MONTAGNE;Valentyna HOFFMANN
ST GEORGES D ANNEBECQ;CHAMPOSOULT;Robert PETROVA
ST SOUPLET;RIBEAUVILLE;Manfred SCHMIDT
MANNEVILLE LA PIPARD;LE TORQUESNE;Richard KLEIN
POIROUX;VERGEROUX;Maria KOVALENKO
MONCEAU LES LEUPS;COURBES;Alina KOCH
ST LORMEL;ST VRAN;Karin KOVALENKO
CROLLES;LE TOUVET;Serhei SHEVCHENKO
GOUT ROSSIGNOL;ST AUVENT;Maksim PETROVA
LABOSSE;BERVILLE;Igor PEREZ
ANNAY SUR SEREIN;ARGENTEUIL SUR ARMANCON;Sergey RUSSO
SAUVIAN;BAIXAS;Evgeniy NOVIKOVA
SIZUN;CALLAC DE BRETAGNE;Tatiana MARTINEZ
COMPS;CUSSAC FORT MEDOC;Elisabeth SCHNEIDER
OLMET;AIX LES BAINS;Mikhail SMITH
VILLESEQUE DES CORBIERES;BOUTENAC;Antonio BAUER
BRINGOLO;TREGOMEUR;Hans SCHNEIDER
LAPEYRE;ANTIST;Sergey FERNANDEZ
ST CYR LES VIGNES;VILLARS;Christian THOMAS
ST ANTONIN NOBLE VAL;CAYRAC;Andrea PAVLOVA
POURCHARESSES;LE MALZIEU VILLE;Martin GARCIA
BARLES;ROCHEBRUNE;Laura PETROV
RULLY;ST DESERT;Yuliya PETROV
VAILLY SUR AISNE;CHACRISE;Aleksandr WOLF
ST SAUVEUR LE VICOMTE;CATTEVILLE;Anna FERRARI
FOSSE;VOLMERANGE LES MINES;Monika MÜLLER
MASSAC;CASCASTEL DES CORBIERES;Aleksey KUZNETSOVA
NOZAY;SAULX LES CHARTREUX;Jose RICHTER
STE MENEHOULD;JOUY EN ARGONNE;Jean MUÑOZ
CALLEN;CAPTIEUX;Sandra MUÑOZ
MARANGE SILVANGE;TALANGE;Aleksandra ROSSI
ASTILLE;BLANDOUET ST JEAN;Evgeniy BROWN
BOGY;ANDANCETTE;Elena BROWN
LA DEVISE;BEHORLEGUY;Aleksandr TÓTH
LA VALETTE DU VAR;LE PUY STE REPARADE;John HUBER
MIREPEISSET;CUXAC D AUDE;Thomas JONES
VILLECERF;NANTEAU SUR LUNAIN;Maksim ANDERSSON
MONTLIARD;BULLAINVILLE;Piotr JOHANSSON
PUJO LE PLAN;BELHADE;Hans SMITH
NIEDERVISSE;MERLES SUR LOISON;Christine RICHTER
LABASTIDE CHALOSSE;POUDENX;Angela LOPEZ
GAILLAN EN MEDOC;CISSAC MEDOC;Giovanni SIMON
ST MACLOU;CRICQUEVILLE EN AUGE;Aleksandr SMITH
AVERTON;COUESMES VAUCE;Vera ZIMMERMANN
STE MARIE DE RE;LA ROCHELLE;Valentyna BECKER
CHANIERS;ECHEBRUNE;Tatiana MEYER
MADRIAT;MARTRES SUR MORGE;Yvan KOVÁCS
GRAND LANDES;PALLUAU;Tatyana SMITH
HUDIMESNIL;ST JEAN DES CHAMPS;Dmitriy ROMERO
LAGOR;TARSACQ;Pavel PAVLOVA
CHARNAY LES CHALON;ST CYR MONTMALIN;Sandra SZABÓ
ST OUEN LE BRISOULT;MONTREUIL POULAY;Jean SZABÓ
REJAUMONT;HOUEYDETS;Nadezhda NOWAK
OULINS;VILLETTE;Sandra SCHMIDT
BONNIEUX;LA FARE LES OLIVIERS;Lyubov GARCIA
URVILLE;ST FLOXEL;Juan NOVIKOVA
ARGENCES EN AUBRAC;MOLIERES CAVAILLAC;John MUÑOZ
PALLUAUD;LAVIGNAC;Denis RAMOS
MONT ST JEAN;ST GEORGES LE GAULTIER;Robert BONDARENKO
GOURGANCON;ARCIS SUR AUBE;Giovanni HUBER
VALLEES D ANTRAIGUES ASPERJOC;JAUJAC;Nykolai EVANS
SIONNE;AOUZE;Piotr MÜLLER
LE RENOUARD;ST GERVAIS DES SABLONS;Darya RAMOS
CANAPVILLE;LIVAROT PAYS D AUGE;Sandra WAGNER
VILLERS;ST HILAIRE SOUS CHARLIEU;Francesco MUÑOZ
SELOMMES;TEILHET;Ivan SCHNEIDER
EBERSHEIM;MATZENHEIM;Nikolay ANDERSSON
LACAPELLE LIVRON;ITZAC;Aleksandr ALVAREZ
CLUNY;SOLOGNY;Mária ALONSO
FOURQUES;BELLEGARDE;Darya HOFFMANN
ST CHRISTOPHE EN OISANS;LES DEUX ALPES;Jean SZABÓ
CONFRACOURT;GRIGNONCOURT;Nadezhda SANTOS
MONTARDON;MAUCOR;Claude HERNANDEZ
ST MARTIN D ENTRAUNES;L ESCARENE;Rosa SMIRNOVA
LOUBIENG;MOURENX;Angela GARCIA
REAUX SUR TREFLE;VILLEXAVIER;Andrea MAGOMEDOV
VICHY;BELLERIVE SUR ALLIER;Elisabeth WEBER
ANCRETIEVILLE ST VICTOR;AUZOUVILLE L ESNEVAL;Ivan SHEVCHENKO
ST CLEMENT A ARNES;ST SOUPLET SUR PY;Ana PEREZ
SERRIERES SUR AIN;SANDRANS;Barbara ROSSI
CHAMPFORGEUIL;SEVREY;Marie DAVIES
